season,team,arena,wins,winpercent,playoffs,coach,topWS,color1,color2,srs,opponent
1984-85,Seattle SuperSonics,King County Domed Stadium,31,0.378,0,L. Wilkens,J. Sikma (8.3),#006031,#FFC222,-5.44,
1985-86,Seattle SuperSonics,Seattle Center Coliseum,31,0.378,0,B. Bickerstaff,J. Sikma (7.8),#006031,#FFC222,-0.47,
1986-87,Seattle SuperSonics,Seattle Center Coliseum,39,0.476,0.6,B. Bickerstaff,D. Ellis (9.3),#006031,#FFC222,0.08,Los Angeles Lakers (0-4)
1987-88,Seattle SuperSonics,Seattle Center Coliseum,44,0.537,0.2,B. Bickerstaff,D. Ellis (9.0),#006031,#FFC222,1.29,Denver Nuggets (2-3)
1988-89,Seattle SuperSonics,Seattle Center Coliseum,47,0.573,0.4,B. Bickerstaff,D. Ellis (10.8),#006031,#FFC222,2.44,Los Angeles Lakers (0-4)
1989-90,Seattle SuperSonics,Seattle Center Coliseum,41,0.5,0,B. Bickerstaff,M. Cage (6.8),#006031,#FFC222,1.4,
1990-91,Seattle SuperSonics,Seattle Center Coliseum,41,0.5,0.2,K. Jones,D. McKey (6.4),#006031,#FFC222,1.31,Portland Trail Blazers (2-3)
1991-92,Seattle SuperSonics,Seattle Center Coliseum,47,0.573,0.4,K. Jones/B. Kloppenburg/G. Karl,R. Pierce (7.8),#006031,#FFC222,1.86,Utah Jazz (1-4)
1992-93,Seattle SuperSonics,Seattle Center Coliseum,55,0.671,0.6,G. Karl,S. Kemp (9.1),#006031,#FFC222,6.66,Phoenix Suns (3-4)
1993-94,Seattle SuperSonics,Seattle Center Coliseum,63,0.768,0.2,G. Karl,S. Kemp (11.7),#006031,#FFC222,8.68,Denver Nuggets (2-3)
1994-95,Seattle SuperSonics,Tacoma Dome,57,0.695,0.2,G. Karl,D. Schrempf (12.9),#006031,#FFC222,7.91,Los Angeles Lakers (1-3)
1995-96,Seattle SuperSonics,KeyArena at Seattle Center,64,0.78,0.8,G. Karl,G. Payton (11.5),#006031,#FFC222,7.4,Chicago Bulls (2-4)
1996-97,Seattle SuperSonics,KeyArena at Seattle Center,57,0.695,0.4,G. Karl,G. Payton (12.9),#006031,#FFC222,6.91,Houston Rockets (3-4)
1997-98,Seattle SuperSonics,KeyArena at Seattle Center,61,0.744,0.4,G. Karl,G. Payton (12.5),#006031,#FFC222,6.33,Los Angeles Lakers (1-4)
1998-99,Seattle SuperSonics,KeyArena at Seattle Center,25,0.5,0,P. Westphal,G. Payton (7.2),#006031,#FFC222,-1.43,
1999-00,Seattle SuperSonics,KeyArena at Seattle Center,45,0.549,0.2,P. Westphal,G. Payton (13.9),#006031,#FFC222,1.17,Utah Jazz (2-3)
2000-01,Seattle SuperSonics,KeyArena at Seattle Center,44,0.537,0,P. Westphal/N. McMillan,G. Payton (10.8),#006031,#FFC222,0.55,
2001-02,Seattle SuperSonics,KeyArena at Seattle Center,45,0.549,0.2,N. McMillan,G. Payton (12.6),#006031,#FFC222,3.24,San Antonio Spurs (2-3)
2002-03,Seattle SuperSonics,KeyArena at Seattle Center,40,0.488,0,N. McMillan,R. Lewis (7.8),#006031,#FFC222,0.37,
2003-04,Seattle SuperSonics,KeyArena at Seattle Center,37,0.451,0,N. McMillan,R. Allen (6.9),#006031,#FFC222,0.02,
2004-05,Seattle SuperSonics,KeyArena at Seattle Center,52,0.634,0.4,N. McMillan,R. Allen (10.7),#006031,#FFC222,2.59,San Antonio Spurs (2-4)
2005-06,Seattle SuperSonics,KeyArena at Seattle Center,35,0.427,0,B. Weiss/B. Hill,R. Allen (9.5),#006031,#FFC222,-2.88,
2006-07,Seattle SuperSonics,KeyArena at Seattle Center,31,0.378,0,B. Hill,R. Lewis (7.6),#006031,#FFC222,-2.45,
2007-08,Seattle SuperSonics,KeyArena at Seattle Center,20,0.244,0,P. Carlesimo,N. Collison (4.5),#006031,#FFC222,-8.04,
2008-09,Oklahoma City Thunder,Ford Center,23,0.28,0,P. Carlesimo/S. Brooks,K. Durant (7.9),#007AC1,#EF3B24,-6.04,
2009-10,Oklahoma City Thunder,Oklahoma City Arena,50,0.61,0.2,S. Brooks,K. Durant (16.1),#007AC1,#EF3B24,3.55,Los Angeles Lakers (2-4)
2010-11,Oklahoma City Thunder,Chesapeake Energy Arena,55,0.671,0.6,S. Brooks,K. Durant (12.0),#007AC1,#EF3B24,3.81,Dallas Mavericks (1-4)
2011-12,Oklahoma City Thunder,Chesapeake Energy Arena,47,0.712,0.8,S. Brooks,K. Durant (12.2),#007AC1,#EF3B24,6.44,Miami Heat (1-4)
2012-13,Oklahoma City Thunder,Chesapeake Energy Arena,60,0.732,0.4,S. Brooks,K. Durant (18.9),#007AC1,#EF3B24,9.15,Memphis Grizzlies (1-4)
2013-14,Oklahoma City Thunder,Chesapeake Energy Arena,59,0.72,0.6,S. Brooks,K. Durant (19.2),#007AC1,#EF3B24,6.66,San Antonio Spurs (2-4)
2014-15,Oklahoma City Thunder,Chesapeake Energy Arena,45,0.549,0,S. Brooks,R. Westbrook (10.6),#007AC1,#EF3B24,2.47,
2015-16,Oklahoma City Thunder,Chesapeake Energy Arena,55,0.671,0.6,B. Donovan,K. Durant (14.5),#007AC1,#EF3B24,7.09,Golden State Warriors (3-4)
2016-17,Oklahoma City Thunder,Chesapeake Energy Arena,47,0.573,0.2,B. Donovan,R. Westbrook (13.1),#007AC1,#EF3B24,1.14,Houston Rockets (1-4)
2017-18,Oklahoma City Thunder,Chesapeake Energy Arena,48,0.585,0.2,B. Donovan,R. Westbrook (10.1),#007AC1,#EF3B24,3.42,Utah Jazz (2-4)
2018-19,Oklahoma City Thunder,Chesapeake Energy Arena,49,0.598,0.2,B. Donovan,P. George (11.9),#007AC1,#EF3B24,3.56,Portland Trail Blazers (1-4)
2019-20,Oklahoma City Thunder,Chesapeake Energy Arena,44,0.611,0.2,B. Donovan,C. Paul (8.9),#007AC1,#EF3B24,2.33,Houston Rockets (3-4)
